name,value,year,lastValue,rank
CANADA,-46003,2018.5,-28017,1
BERMUDA,102040,2018.5,179653,1
CHINA,478768,2018.5,436870,1
BRAZIL,880765,2018.5,787033,1
SWEDEN,160323,2018.5,54444,1
NETHERLANDS,441057,2018.5,283455,1
BRAZIL,557888,2018.5,622749,1
ITALY,-824,2018.5,-2574,1
BRITAIN,363598,2018.5,377264,1
BERMUDA,88399,2018.5,72148,1
CANADA,-15521,2018.5,-32527,1
SWEDEN,86502,2018.5,113357,1
CHINA,151238,2018.5,338515,1
FRANCE,10986,2018.5,28687,1
JAPAN,-10190,2018.5,-19978,1
UNITED STATES,1542060,2018.5,1124321,1
GERMANY,157184,2018.5,101017,1
SWEDEN,122342,2018.5,160323,1
JAPAN,-14411,2018.5,-28255,1
BRITAIN,514243,2018.5,533572,1
UNITED STATES,2180964,2018.5,1590148,1
BERMUDA,125024,2018.5,102040,1
GERMANY,222308,2018.5,142871,1
FRANCE,15538,2018.5,40573,1
BRAZIL,789032,2018.5,880765,1
ITALY,-1166,2018.5,-3640,1
NETHERLANDS,623795,2018.5,400896,1
CANADA,-21952,2018.5,-46003,1
CHINA,213898,2018.5,478768,1
BERMUDA,81782,2018.5,88399,1
ITALY,-387,2018.5,-824,1
CANADA,-13651,2018.5,-15521,1
CHINA,191723,2018.5,151238,1
JAPAN,5259,2018.5,-10190,1
BELGIUM,23885,2018.5,,1
BRAZIL,587547,2018.5,557888,1
GERMANY,145207,2018.5,157184,1
NETHERLANDS,386018,2018.5,441057,1
FRANCE,17014,2018.5,10986,1
SWEDEN,59652,2018.5,86502,1
BRITAIN,329705,2018.5,363598,1
UNITED STATES,1833692,2018.5,1542060,1
NETHERLANDS,545952,2018.5,623795,1
UNITED STATES,2593426,2018.5,2180964,1
CANADA,-19307,2018.5,-21952,1
BERMUDA,115666,2018.5,125024,1
JAPAN,7437,2018.5,-14411,1
FRANCE,24064,2018.5,15538,1
BRITAIN,466308,2018.5,514243,1
ITALY,-547,2018.5,-1166,1
CHINA,271158,2018.5,213898,1
GERMANY,205368,2018.5,222308,1
BRAZIL,830978,2018.5,789032,1
BELGIUM,33781,2018.5,,1
SWEDEN,84367,2018.5,122342,1
NETHERLANDS,500304,2018.5,386018,1
BRAZIL,529584,2018.5,587547,1
BELGIUM,27812,2018.5,23885,1
ITALY,-10041,2018.5,-387,1
JAPAN,13711,2018.5,5259,1
UNITED STATES,1716827,2018.5,1833692,1
CHINA,219941,2018.5,191723,1
BERMUDA,76948,2018.5,81782,1
FRANCE,16128,2018.5,17014,1
SWEDEN,53424,2018.5,59652,1
CANADA,-15881,2018.5,-13651,1
GERMANY,87100,2018.5,145207,1
BRITAIN,292836,2018.5,329705,1
GERMANY,123187,2018.5,205368,1
JAPAN,19392,2018.5,7437,1
BERMUDA,108829,2018.5,115666,1
BRITAIN,414163,2018.5,466308,1
ITALY,-14201,2018.5,-547,1
NETHERLANDS,707590,2018.5,545952,1
UNITED STATES,2428141,2018.5,2593426,1
BELGIUM,39336,2018.5,33781,1
CANADA,-22461,2018.5,-19307,1
CHINA,311067,2018.5,271158,1
SWEDEN,75559,2018.5,84367,1
FRANCE,22810,2018.5,24064,1
BRAZIL,749000,2018.5,830978,1
NETHERLANDS,473271,2018.5,500304,1
UNITED STATES,1765774,2018.5,1716827,1
BERMUDA,80234,2018.5,76948,1
ITALY,-13031,2018.5,-10041,1
CANADA,-60988,2018.5,-15881,1
CHINA,313100,2018.5,219941,1
BRITAIN,224456,2018.5,292836,1
JAPAN,12910,2018.5,13711,1
BELGIUM,23444,2018.5,27812,1
BRAZIL,484618,2018.5,529584,1
FRANCE,6834,2018.5,16128,1
SWEDEN,37281,2018.5,53424,1
GERMANY,121839,2018.5,87100,1
CHINA,442823,2018.5,311067,1
BELGIUM,33157,2018.5,39336,1
UNITED STATES,2497367,2018.5,2428141,1
GERMANY,172319,2018.5,123187,1
JAPAN,18259,2018.5,19392,1
NETHERLANDS,669355,2018.5,707590,1
ITALY,-18431,2018.5,-14201,1
SWEDEN,52727,2018.5,75559,1
BRITAIN,317453,2018.5,414163,1
FRANCE,9666,2018.5,22810,1
BERMUDA,113476,2018.5,108829,1
BRAZIL,685404,2018.5,749000,1
CANADA,-86257,2018.5,-22461,1
UNITED STATES,1852384,2018.5,1765774,1
SWEDEN,34757,2018.5,37281,1
JAPAN,7841,2018.5,12910,1
RUSSIA,24223,2018.5,26226,1
CHINA,178339,2018.5,313100,1
BRITAIN,244824,2018.5,224456,1
ITALY,-11613,2018.5,-13031,1
FRANCE,5716,2018.5,6834,1
BRAZIL,449844,2018.5,484618,1
BELGIUM,3835,2018.5,23444,1
BERMUDA,72902,2018.5,80234,1
NETHERLANDS,513187,2018.5,473271,1
CANADA,-73132,2018.5,-60988,1
GERMANY,82864,2018.5,121839,1
SWEDEN,49158,2018.5,52727,1
NETHERLANDS,725810,2018.5,669355,1
BRITAIN,346260,2018.5,317453,1
JAPAN,11089,2018.5,18259,1
BERMUDA,103106,2018.5,113476,1
GERMANY,117196,2018.5,172319,1
UNITED STATES,2619861,2018.5,2497367,1
CHINA,252228,2018.5,442823,1
CANADA,-103432,2018.5,-86257,1
FRANCE,8085,2018.5,9666,1
RUSSIA,34259,2018.5,37092,1
BELGIUM,5424,2018.5,33157,1
ITALY,-16424,2018.5,-18431,1
BRAZIL,636222,2018.5,685404,1
GERMANY,106567,2018.5,82864,1
NETHERLANDS,483828,2018.5,513187,1
CANADA,-61739,2018.5,-73132,1
BELGIUM,2696,2018.5,3835,1
FRANCE,14820,2018.5,5716,1
BRAZIL,404548,2018.5,449844,1
ITALY,-10121,2018.5,-11613,1
RUSSIA,21776,2018.5,24223,1
JAPAN,703,2018.5,7841,1
CHINA,196720,2018.5,178339,1
BERMUDA,77584,2018.5,72902,1
BRITAIN,228719,2018.5,244824,1
UNITED STATES,2017516,2018.5,1852384,1
SWEDEN,35700,2018.5,34757,1
BERMUDA,109729,2018.5,103106,1
BELGIUM,3813,2018.5,5424,1
CHINA,278225,2018.5,252228,1
UNITED STATES,2853410,2018.5,2619861,1
BRAZIL,572160,2018.5,636222,1
NETHERLANDS,684287,2018.5,725810,1
SWEDEN,50491,2018.5,49158,1
BRITAIN,323481,2018.5,346260,1
RUSSIA,30799,2018.5,34259,1
ITALY,-14314,2018.5,-16424,1
GERMANY,150720,2018.5,117196,1
JAPAN,994,2018.5,11089,1
FRANCE,20960,2018.5,8085,1
CANADA,-87319,2018.5,-103432,1
INDIA,28129,2018.5,2328,1
BELGIUM,2724,2018.5,2696,1
UNITED STATES,1783797,2018.5,2017516,1
BERMUDA,105324,2018.5,77584,1
BRAZIL,399922,2018.5,404548,1
BRITAIN,171785,2018.5,228719,1
SWEDEN,31322,2018.5,35700,1
CANADA,-27552,2018.5,-61739,1
RUSSIA,15198,2018.5,21776,1
CHINA,242019,2018.5,196720,1
NETHERLANDS,1014702,2018.5,483828,1
FRANCE,9124,2018.5,14820,1
GERMANY,91483,2018.5,106567,1
JAPAN,-6972,2018.5,703,1
ITALY,-12874,2018.5,-10121,1
CANADA,-38968,2018.5,-87319,1
INDIA,39784,2018.5,3293,1
BRITAIN,242959,2018.5,323481,1
BRAZIL,565617,2018.5,572160,1
JAPAN,-9861,2018.5,994,1
CHINA,342292,2018.5,278225,1
ITALY,-18208,2018.5,-14314,1
BELGIUM,3852,2018.5,3813,1
GERMANY,129386,2018.5,150720,1
BERMUDA,148962,2018.5,109729,1
FRANCE,12905,2018.5,20960,1
SWEDEN,44300,2018.5,50491,1
RUSSIA,21494,2018.5,30799,1
NETHERLANDS,1435113,2018.5,684287,1
UNITED STATES,2522857,2018.5,2853410,1
JAPAN,-8605,2018.5,-6972,1
BELGIUM,1037,2018.5,2724,1
NETHERLANDS,1286035,2018.5,1014702,1
INDIA,3017,2018.5,28129,1
FRANCE,2549,2018.5,9124,1
GERMANY,137630,2018.5,91483,1
BERMUDA,112050,2018.5,105324,1
SWEDEN,33125,2018.5,31322,1
UNITED STATES,1859480,2018.5,1783797,1
BRITAIN,145342,2018.5,171785,1
BRAZIL,371169,2018.5,399922,1
ITALY,-12796,2018.5,-12874,1
RUSSIA,36594,2018.5,15198,1
CHINA,345094,2018.5,242019,1
CANADA,-33327,2018.5,-27552,1
FRANCE,3605,2018.5,12905,1
INDIA,4267,2018.5,39784,1
RUSSIA,51756,2018.5,21494,1
GERMANY,194652,2018.5,129386,1
ITALY,-18097,2018.5,-18208,1
BERMUDA,158474,2018.5,148962,1
NETHERLANDS,1818864,2018.5,1435113,1
BRITAIN,205559,2018.5,242959,1
CHINA,488073,2018.5,342292,1
CANADA,-47135,2018.5,-38968,1
JAPAN,-12170,2018.5,-9861,1
BRAZIL,524951,2018.5,565617,1
BELGIUM,1466,2018.5,3852,1
UNITED STATES,2629898,2018.5,2522857,1
SWEDEN,46849,2018.5,44300,1
ITALY,-12513,2018.5,-12796,1
GERMANY,105148,2018.5,137630,1
INDIA,20396,2018.5,3017,1
BRITAIN,128988,2018.5,145342,1
CANADA,-13436,2018.5,-33327,1
SWEDEN,35591,2018.5,33125,1
BELGIUM,1175,2018.5,1037,1
ARGENTINA,18853,2018.5,,1
BRAZIL,369562,2018.5,371169,1
NETHERLANDS,1249058,2018.5,1286035,1
UNITED STATES,2049645,2018.5,1859480,1
CHINA,313385,2018.5,345094,1
BERMUDA,109725,2018.5,112050,1
RUSSIA,37068,2018.5,36594,1
FRANCE,139,2018.5,2549,1
JAPAN,-12379,2018.5,-8605,1
ARGENTINA,26664,2018.5,,1
SWEDEN,50337,2018.5,46849,1
UNITED STATES,2898852,2018.5,2629898,1
BELGIUM,1662,2018.5,1466,1
INDIA,28847,2018.5,4267,1
FRANCE,197,2018.5,3605,1
JAPAN,-17509,2018.5,-12170,1
BRITAIN,182430,2018.5,205559,1
GERMANY,148713,2018.5,194652,1
BRAZIL,522678,2018.5,524951,1
RUSSIA,52426,2018.5,51756,1
CHINA,443226,2018.5,488073,1
CANADA,-19003,2018.5,-47135,1
NETHERLANDS,1766566,2018.5,1818864,1
BERMUDA,155187,2018.5,158474,1
ITALY,-17697,2018.5,-18097,1
BRITAIN,147889,2018.5,128988,1
NETHERLANDS,1000489,2018.5,1249058,1
RUSSIA,51061,2018.5,37068,1
INDIA,11230,2018.5,20396,1
UNITED STATES,1717698,2018.5,2049645,1
FRANCE,2157,2018.5,139,1
GERMANY,102251,2018.5,105148,1
SWEDEN,39278,2018.5,35591,1
ITALY,-12490,2018.5,-12513,1
ARGENTINA,22793,2018.5,18853,1
CHINA,351606,2018.5,313385,1
CANADA,-15467,2018.5,-13436,1
BELGIUM,1033,2018.5,1175,1
BRAZIL,404585,2018.5,369562,1
BERMUDA,120255,2018.5,109725,1
JAPAN,-10423,2018.5,-12379,1
INDIA,15883,2018.5,28847,1
FRANCE,3050,2018.5,197,1
SWEDEN,55552,2018.5,50337,1
GERMANY,144615,2018.5,148713,1
BELGIUM,1460,2018.5,1662,1
RUSSIA,72216,2018.5,52426,1
ARGENTINA,32236,2018.5,26664,1
JAPAN,-14742,2018.5,-17509,1
UNITED STATES,2429372,2018.5,2898852,1
NETHERLANDS,1415011,2018.5,1766566,1
CANADA,-21876,2018.5,-19003,1
ITALY,-17664,2018.5,-17697,1
BRAZIL,572212,2018.5,522678,1
CHINA,497284,2018.5,443226,1
BRITAIN,209162,2018.5,182430,1
BERMUDA,170079,2018.5,155187,1
CANADA,-13306,2018.5,-15467,1
RUSSIA,47491,2018.5,51061,1
ITALY,-11477,2018.5,-12490,1
BRAZIL,309440,2018.5,404585,1
ARGENTINA,23164,2018.5,22793,1
CHINA,330666,2018.5,351606,1
FRANCE,2498,2018.5,2157,1
BERMUDA,123197,2018.5,120255,1
SWEDEN,44403,2018.5,39278,1
GERMANY,102295,2018.5,102251,1
JAPAN,-11944,2018.5,-10423,1
BRITAIN,131350,2018.5,147889,1
UNITED STATES,1616957,2018.5,1717698,1
NETHERLANDS,1076290,2018.5,1000489,1
BRITAIN,185771,2018.5,209162,1
RUSSIA,67167,2018.5,72216,1
NETHERLANDS,1522217,2018.5,1415011,1
ARGENTINA,32762,2018.5,32236,1
GERMANY,144678,2018.5,144615,1
SWEDEN,62801,2018.5,55552,1
CHINA,467667,2018.5,497284,1
CANADA,-18820,2018.5,-21876,1
BRAZIL,437646,2018.5,572212,1
FRANCE,3532,2018.5,3050,1
ITALY,-16232,2018.5,-17664,1
JAPAN,-16892,2018.5,-14742,1
UNITED STATES,2286893,2018.5,2429372,1
BERMUDA,174240,2018.5,170079,1
SWEDEN,38501,2018.5,44403,1
UNITED STATES,1821358,2018.5,1616957,1
GERMANY,97709,2018.5,102295,1
BRAZIL,272531,2018.5,309440,1
CHINA,291669,2018.5,330666,1
CANADA,-22998,2018.5,-13306,1
JAPAN,-11164,2018.5,-11944,1
RUSSIA,55905,2018.5,47491,1
ARGENTINA,18293,2018.5,23164,1
NETHERLANDS,1148026,2018.5,1076290,1
FRANCE,11332,2018.5,2498,1
BRITAIN,157148,2018.5,131350,1
BERMUDA,118549,2018.5,123197,1
BRAZIL,385445,2018.5,437646,1
NETHERLANDS,1623675,2018.5,1522217,1
CHINA,412513,2018.5,467667,1
BERMUDA,167666,2018.5,174240,1
UNITED STATES,2575981,2018.5,2286893,1
FRANCE,16028,2018.5,3532,1
SWEDEN,54453,2018.5,62801,1
RUSSIA,79067,2018.5,67167,1
GERMANY,138192,2018.5,144678,1
JAPAN,-15789,2018.5,-16892,1
ARGENTINA,25872,2018.5,32762,1
BRITAIN,222257,2018.5,185771,1
CANADA,-32527,2018.5,-18820,1
SWEDEN,38693,2018.5,38501,1
ARGENTINA,10733,2018.5,18293,1
GERMANY,90880,2018.5,97709,1
UNITED STATES,1294253,2018.5,1821358,1
NETHERLANDS,1361228,2018.5,1148026,1
JAPAN,-10029,2018.5,-11164,1
FRANCE,10424,2018.5,11332,1
BRITAIN,156523,2018.5,157148,1
INDIA,9460,2018.5,11230,1
ISRAEL,16131,2018.5,-26781,1
CANADA,-6618,2018.5,-22998,1
RUSSIA,42859,2018.5,55905,1
BRAZIL,269374,2018.5,272531,1
CHINA,374669,2018.5,291669,1
BERMUDA,99313,2018.5,118549,1
UNITED STATES,1830486,2018.5,2575981,1
GERMANY,128533,2018.5,138192,1
BERMUDA,140461,2018.5,167666,1
RUSSIA,60616,2018.5,79067,1
CHINA,529901,2018.5,412513,1
CANADA,-9360,2018.5,-32527,1
SWEDEN,54725,2018.5,54453,1
ARGENTINA,15180,2018.5,25872,1
BRITAIN,221374,2018.5,222257,1
ISRAEL,22815,2018.5,-37876,1
INDIA,13380,2018.5,15883,1
BRAZIL,380981,2018.5,385445,1
NETHERLANDS,1925210,2018.5,1623675,1
JAPAN,-14184,2018.5,-15789,1
FRANCE,14743,2018.5,16028,1
NETHERLANDS,1128570,2018.5,1361228,1
RUSSIA,48709,2018.5,42859,1
FRANCE,12110,2018.5,10424,1
JAPAN,-10412,2018.5,-10029,1
ISRAEL,7988,2018.5,16131,1
ARGENTINA,22519,2018.5,10733,1
BRAZIL,386910,2018.5,269374,1
CANADA,-14071,2018.5,-6618,1
CHINA,316339,2018.5,374669,1
SWEDEN,43481,2018.5,38693,1
BRITAIN,165712,2018.5,156523,1
GERMANY,92237,2018.5,90880,1
UNITED STATES,1515336,2018.5,1294253,1
BERMUDA,85818,2018.5,99313,1
CHINA,447404,2018.5,529901,1
JAPAN,-14725,2018.5,-14184,1
UNITED STATES,2143168,2018.5,1830486,1
SWEDEN,61495,2018.5,54725,1
CANADA,-19901,2018.5,-9360,1
FRANCE,17127,2018.5,14743,1
BERMUDA,121374,2018.5,140461,1
ISRAEL,11297,2018.5,22815,1
BRAZIL,547214,2018.5,380981,1
ARGENTINA,31849,2018.5,15180,1
GERMANY,130453,2018.5,128533,1
RUSSIA,68890,2018.5,60616,1
NETHERLANDS,1596159,2018.5,1925210,1
BRITAIN,234370,2018.5,221374,1
ARGENTINA,25331,2018.5,22519,1
CHINA,575271,2018.5,316339,1
NETHERLANDS,1037194,2018.5,1128570,1
JAPAN,-10380,2018.5,-10412,1
ISRAEL,7184,2018.5,7988,1
SWEDEN,43082,2018.5,43481,1
BRITAIN,168995,2018.5,165712,1
BRAZIL,376706,2018.5,386910,1
FRANCE,12619,2018.5,12110,1
RUSSIA,66527,2018.5,48709,1
CANADA,-14612,2018.5,-14071,1
GERMANY,103054,2018.5,92237,1
UNITED STATES,1258552,2018.5,1515336,1
BERMUDA,105444,2018.5,85818,1
UNITED STATES,1779995,2018.5,2143168,1
SWEDEN,60931,2018.5,61495,1
CHINA,813617,2018.5,447404,1
JAPAN,-14681,2018.5,-14725,1
GERMANY,145751,2018.5,130453,1
NETHERLANDS,1466923,2018.5,1596159,1
ISRAEL,10161,2018.5,11297,1
ARGENTINA,35826,2018.5,31849,1
BRAZIL,532782,2018.5,547214,1
CANADA,-20666,2018.5,-19901,1
BERMUDA,149131,2018.5,121374,1
FRANCE,17848,2018.5,17127,1
BRITAIN,239013,2018.5,234370,1
RUSSIA,94091,2018.5,68890,1
BRAZIL,306288,2018.5,376706,1
CHINA,701327,2018.5,575271,1
RUSSIA,43956,2018.5,66527,1
CANADA,-10226,2018.5,-14612,1
JAPAN,-5573,2018.5,-10380,1
SWEDEN,50396,2018.5,43082,1
NETHERLANDS,1234845,2018.5,1037194,1
GERMANY,120938,2018.5,103054,1
ISRAEL,306,2018.5,7184,1
BERMUDA,230986,2018.5,105444,1
BRITAIN,130651,2018.5,168995,1
FRANCE,26971,2018.5,12619,1
UNITED STATES,891114,2018.5,1258552,1
BRAZIL,433188,2018.5,532782,1
UNITED STATES,1260319,2018.5,1779995,1
CANADA,-14463,2018.5,-20666,1
SWEDEN,71276,2018.5,60931,1
BRITAIN,184782,2018.5,239013,1
BERMUDA,326687,2018.5,149131,1
RUSSIA,62168,2018.5,94091,1
FRANCE,38145,2018.5,17848,1
NETHERLANDS,1746464,2018.5,1466923,1
ISRAEL,433,2018.5,10161,1
JAPAN,-7882,2018.5,-14681,1
GERMANY,171045,2018.5,145751,1
CHINA,991900,2018.5,813617,1
CHINA,658766,2018.5,701327,1
NETHERLANDS,1440916,2018.5,1234845,1
BRITAIN,116399,2018.5,130651,1
SWEDEN,47249,2018.5,50396,1
GERMANY,130138,2018.5,120938,1
BRAZIL,246692,2018.5,306288,1
ISRAEL,2157,2018.5,306,1
BERMUDA,226990,2018.5,230986,1
UNITED STATES,802550,2018.5,891114,1
CANADA,-5160,2018.5,-10226,1
RUSSIA,38890,2018.5,43956,1
ITALY,-689,2018.5,-11477,1
FRANCE,22169,2018.5,26971,1
JAPAN,-5963,2018.5,-5573,1
JAPAN,-8434,2018.5,-7882,1
ITALY,-974,2018.5,-16232,1
ISRAEL,3051,2018.5,433,1
NETHERLANDS,2037915,2018.5,1746464,1
CANADA,-7298,2018.5,-14463,1
UNITED STATES,1135062,2018.5,1260319,1
RUSSIA,55002,2018.5,62168,1
CHINA,931705,2018.5,991900,1
SWEDEN,66825,2018.5,71276,1
GERMANY,184056,2018.5,171045,1
BERMUDA,321036,2018.5,326687,1
BRAZIL,348902,2018.5,433188,1
BRITAIN,164626,2018.5,184782,1
FRANCE,31355,2018.5,38145,1
GERMANY,173847,2018.5,130138,1
SWEDEN,50095,2018.5,47249,1
ISRAEL,-6774,2018.5,2157,1
RUSSIA,72116,2018.5,38890,1
BRAZIL,557852,2018.5,246692,1
JAPAN,-9032,2018.5,-5963,1
FRANCE,5366,2018.5,22169,1
NETHERLANDS,1133620,2018.5,1440916,1
ITALY,-3037,2018.5,-689,1
CANADA,-18444,2018.5,-5160,1
CHINA,809240,2018.5,658766,1
UNITED STATES,1202424,2018.5,802550,1
BERMUDA,203589,2018.5,226990,1
BRITAIN,112537,2018.5,116399,1
RUSSIA,101995,2018.5,55002,1
GERMANY,245874,2018.5,184056,1
UNITED STATES,1700611,2018.5,1135062,1
NETHERLANDS,1603300,2018.5,2037915,1
JAPAN,-12775,2018.5,-8434,1
BRITAIN,159163,2018.5,164626,1
ITALY,-4296,2018.5,-974,1
ISRAEL,-9580,2018.5,3051,1
SWEDEN,70851,2018.5,66825,1
CHINA,1144523,2018.5,931705,1
BRAZIL,788981,2018.5,348902,1
BERMUDA,287940,2018.5,321036,1
FRANCE,7589,2018.5,31355,1
CANADA,-26086,2018.5,-7298,1
BRAZIL,649027,2018.5,557852,1
ISRAEL,3049,2018.5,-6774,1
SWEDEN,37015,2018.5,50095,1
CHINA,798175,2018.5,809240,1
BRITAIN,102627,2018.5,112537,1
UNITED STATES,755633,2018.5,1202424,1
JAPAN,-11973,2018.5,-9032,1
RUSSIA,44741,2018.5,72116,1
GERMANY,171220,2018.5,173847,1
FRANCE,11162,2018.5,5366,1
ITALY,-3055,2018.5,-3037,1
BERMUDA,207672,2018.5,203589,1
CANADA,83281,2018.5,-18444,1
NETHERLANDS,1143955,2018.5,1133620,1
UNITED STATES,1068705,2018.5,1700611,1
FRANCE,15787,2018.5,7589,1
BRAZIL,917931,2018.5,788981,1
ITALY,-4320,2018.5,-4296,1
BERMUDA,293715,2018.5,287940,1
JAPAN,-16934,2018.5,-12775,1
RUSSIA,63278,2018.5,101995,1
BRITAIN,145147,2018.5,159163,1
NETHERLANDS,1617917,2018.5,1603300,1
CANADA,117785,2018.5,-26086,1
CHINA,1128874,2018.5,1144523,1
SWEDEN,52352,2018.5,70851,1
ISRAEL,4312,2018.5,-9580,1
GERMANY,242160,2018.5,245874,1
BRAZIL,922171,2018.6,649027,1
BERMUDA,277012,2018.6,207672,1
CANADA,135314,2018.6,83281,1
BRITAIN,121574,2018.6,102627,1
ISRAEL,-20045,2018.6,3049,1
ITALY,-5907,2018.6,-3055,1
GERMANY,298764,2018.6,171220,1
SWEDEN,38236,2018.6,37015,1
AUSTRALIA,-6268,2018.6,,1
FRANCE,10764,2018.6,11162,1
UNITED STATES,929739,2018.6,755633,1
NETHERLANDS,903158,2018.6,1143955,1
RUSSIA,86452,2018.6,44741,1
JAPAN,-19859,2018.6,-11973,1
CHINA,1155946,2018.6,798175,1
FRANCE,15224,2018.6,15787,1
CANADA,191377,2018.6,117785,1
BRITAIN,171945,2018.6,145147,1
ISRAEL,-28350,2018.6,4312,1
SWEDEN,54077,2018.6,52352,1
NETHERLANDS,1277354,2018.6,1617917,1
BERMUDA,391783,2018.6,293715,1
CHINA,1634876,2018.6,1128874,1
RUSSIA,122271,2018.6,63278,1
UNITED STATES,1314948,2018.6,1068705,1
JAPAN,-28087,2018.6,-16934,1
BRAZIL,1304243,2018.6,917931,1
ITALY,-8355,2018.6,-4320,1
AUSTRALIA,-8864,2018.6,,1
GERMANY,422548,2018.6,242160,1
BRAZIL,869717,2018.6,922171,1
ITALY,-5188,2018.6,-5907,1
AUSTRALIA,-12883,2018.6,-6268,1
JAPAN,-21179,2018.6,-19859,1
SWEDEN,23969,2018.6,38236,1
BRITAIN,128971,2018.6,121574,1
INDIA,-13760,2018.6,9460,1
UNITED STATES,992271,2018.6,929739,1
CANADA,129334,2018.6,135314,1
GERMANY,290498,2018.6,298764,1
BERMUDA,252108,2018.6,277012,1
FRANCE,10095,2018.6,10764,1
RUSSIA,139971,2018.6,86452,1
NETHERLANDS,855374,2018.6,903158,1
CHINA,988108,2018.6,1155946,1
AUSTRALIA,-18221,2018.6,-8864,1
NETHERLANDS,1209771,2018.6,1277354,1
RUSSIA,197963,2018.6,122271,1
SWEDEN,33899,2018.6,54077,1
BRAZIL,1230057,2018.6,1304243,1
BRITAIN,182407,2018.6,171945,1
BERMUDA,356560,2018.6,391783,1
FRANCE,14278,2018.6,15224,1
INDIA,-19461,2018.6,13380,1
UNITED STATES,1403387,2018.6,1314948,1
ITALY,-7337,2018.6,-8355,1
JAPAN,-29953,2018.6,-28087,1
CHINA,1397499,2018.6,1634876,1
GERMANY,410856,2018.6,422548,1
CANADA,182920,2018.6,191377,1
BRAZIL,599046,2018.6,869717,1
GERMANY,230979,2018.6,290498,1
ITALY,-18842,2018.6,-5188,1
AUSTRALIA,-5647,2018.6,-12883,1
NETHERLANDS,1194795,2018.6,855374,1
RUSSIA,105246,2018.6,139971,1
BERMUDA,211062,2018.6,252108,1
CANADA,130590,2018.6,129334,1
UNITED STATES,760723,2018.6,992271,1
FRANCE,8030,2018.6,10095,1
BRITAIN,128405,2018.6,128971,1
CHINA,781192,2018.6,988108,1
JAPAN,-16535,2018.6,-21179,1
CHINA,1104855,2018.6,1397499,1
FRANCE,11357,2018.6,14278,1
AUSTRALIA,-7987,2018.6,-18221,1
NETHERLANDS,1689821,2018.6,1209771,1
ITALY,-26649,2018.6,-7337,1
JAPAN,-23386,2018.6,-29953,1
BRITAIN,181605,2018.6,182407,1
RUSSIA,148852,2018.6,197963,1
UNITED STATES,1075906,2018.6,1403387,1
BRAZIL,847242,2018.6,1230057,1
CANADA,184696,2018.6,182920,1
BERMUDA,298508,2018.6,356560,1
GERMANY,326679,2018.6,410856,1
